municipality,compensation
adamantina,1.4
adolfo,2.0
aguai,1.2
aguas_da_prata,2.0
aguas_de_lindoia,2.0
aguas_de_santa_barbara,1.2
aguas_de_sao_pedro,1.6
agudos,1.4
alambari,2.0
alfredo_marcondes,1.6
altair,1.4
altinopolis,1.4
alto_alegre,1.2
aluminio,2.0
alvares_florence,1.2
alvares_machado,2.0
alvaro_de_carvalho,1.4
alvinlandia,1.4
americana,1.6
americo_brasiliense,1.4
americo_de_campos,1.2
amparo,2.0
analandia,2.0
andradina,2.0
angatuba,2.0
anhembi,1.6
anhumas,1.4
aparecida,2.0
aparecida_doeste,1.4
apiai,1.2
aracariguama,2.0
aracatuba,1.6
aracoiaba_da_serra,2.0
aramina,1.4
arandu,1.2
arapei,1.4
araraquara,1.6
araras,1.4
arco_iris,1.4
arealva,1.4
areias,1.4
areiopolis,2.0
ariranha,1.4
artur_nogueira,1.6
aruja,2.0
aspasia,1.4
assis,1.2
atibaia,2.0
auriflama,1.4
avai,1.6
avanhandava,1.6
avare,1.4
bady_bassitt,1.6
balbinos,2.0
balsamo,1.2
bananal,1.4
barao_de_antonina,1.2
barbosa,1.4
bariri,1.4
barra_bonita,2.0
barra_do_chapeu,1.2
barra_do_turvo,1.2
barretos,1.2
barrinha,1.2
barueri,1.6
bastos,1.4
batatais,1.2
bauru,1.4
bebedouro,1.2
bento_de_abreu,1.6
bernardino_de_campos,1.2
bertioga,1.2
bilac,1.4
birigui,1.4
biritiba_mirim,2.0
boa_esperanca_do_sul,2.0
bocaina,1.6
bofete,2.0
boituva,2.0
bom_jesus_dos_perdoes,2.0
bom_sucesso_de_itarare,1.4
bora,1.2
boraceia,1.2
borborema,1.2
borebi,1.6
botucatu,2.0
braganca_paulista,2.0
brauna,2.0
brejo_alegre,1.4
brodowski,1.4
brotas,2.0
buri,1.4
buritama,1.4
buritizal,1.4
cabralia_paulista,1.6
cabreuva,2.0
cacapava,2.0
cachoeira_paulista,2.0
caconde,1.2
cafelandia,2.0
caiabu,1.4
caieiras,2.0
caiua,1.6
cajamar,2.0
cajati,1.2
cajobi,1.4
cajuru,1.4
campina_do_monte_alegre,1.6
campinas,2.0
campo_limpo_paulista,2.0
campos_do_jordao,1.2
campos_novos_paulista,1.2
cananeia,1.2
canas,2.0
candido_mota,1.2
candido_rodrigues,1.4
canitar,1.2
capao_bonito,1.2
capela_do_alto,2.0
capivari,2.0
caraguatatuba,1.2
carapicuiba,1.6
cardoso,1.2
casa_branca,1.2
cassia_dos_coqueiros,2.0
castilho,1.6
catanduva,1.4
catigua,1.6
cedral,1.4
