municipality,successional_stage,compensation_m2
brotas,initial,2.0
brotas,mid,3.0
brotas,late,6.0
buri,initial,1.5
buri,mid,2.0
buri,late,3.0
adamantina,initial,1.5
adamantina,mid,2.0
adamantina,late,3.0
buritama,initial,1.5
buritama,mid,2.0
buritama,late,3.0
adolfo,initial,2.0
adolfo,mid,3.0
adolfo,late,6.0
buritizal,initial,1.5
buritizal,mid,2.0
buritizal,late,3.0
aguai,initial,1.25
aguai,mid,1.5
aguai,late,2.0
cabralia_paulista,initial,1.8
cabralia_paulista,mid,2.5
cabralia_paulista,late,5.0
aguas_da_prata,initial,2.0
aguas_da_prata,mid,3.0
aguas_da_prata,late,6.0
cabreuva,initial,2.0
cabreuva,mid,3.0
cabreuva,late,6.0
aguas_de_lindoia,initial,2.0
aguas_de_lindoia,mid,3.0
aguas_de_lindoia,late,6.0
cacapava,initial,2.0
cacapava,mid,3.0
cacapava,late,6.0
aguas_de_santa_barbara,initial,1.25
aguas_de_santa_barbara,mid,1.5
aguas_de_santa_barbara,late,2.0
cachoeira_paulista,initial,2.0
cachoeira_paulista,mid,3.0
cachoeira_paulista,late,6.0
aguas_de_sao_pedro,initial,1.8
aguas_de_sao_pedro,mid,2.5
aguas_de_sao_pedro,late,5.0
caconde,initial,1.25
caconde,mid,1.5
caconde,late,2.0
agudos,initial,1.5
agudos,mid,2.0
agudos,late,3.0
cafelandia,initial,2.0
cafelandia,mid,3.0
cafelandia,late,6.0
alambari,initial,2.0
alambari,mid,3.0
alambari,late,6.0
caiabu,initial,1.5
caiabu,mid,2.0
caiabu,late,3.0
alfredo_marcondes,initial,1.8
alfredo_marcondes,mid,2.5
alfredo_marcondes,late,5.0
caieiras,initial,2.0
caieiras,mid,3.0
caieiras,late,6.0
altair,initial,1.5
altair,mid,2.0
altair,late,3.0
caiua,initial,1.8
caiua,mid,2.5
caiua,late,5.0
altinopolis,initial,1.5
altinopolis,mid,2.0
altinopolis,late,3.0
cajamar,initial,2.0
cajamar,mid,3.0
cajamar,late,6.0
alto_alegre,initial,1.25
alto_alegre,mid,1.5
alto_alegre,late,2.0
cajati,initial,1.25
cajati,mid,1.5
cajati,late,2.0
aluminio,initial,2.0
aluminio,mid,3.0
aluminio,late,6.0
cajobi,initial,1.5
cajobi,mid,2.0
cajobi,late,3.0
alvares_florence,initial,1.25
alvares_florence,mid,1.5
alvares_florence,late,2.0
cajuru,initial,1.5
cajuru,mid,2.0
cajuru,late,3.0
alvares_machado,initial,2.0
alvares_machado,mid,3.0
alvares_machado,late,6.0
campina_do_monte_alegre,initial,1.8
campina_do_monte_alegre,mid,2.5
campina_do_monte_alegre,late,5.0
alvaro_de_carvalho,initial,1.5
alvaro_de_carvalho,mid,2.0
alvaro_de_carvalho,late,3.0
campinas,initial,2.0
campinas,mid,3.0
campinas,late,6.0
alvinlandia,initial,1.5
alvinlandia,mid,2.0
alvinlandia,late,3.0
campo_limpo_paulista,initial,2.0
campo_limpo_paulista,mid,3.0
campo_limpo_paulista,late,6.0
americana,initial,1.8
americana,mid,2.5
americana,late,5.0
campos_do_jordao,initial,1.25
campos_do_jordao,mid,1.5
campos_do_jordao,late,2.0
americo_brasiliense,initial,1.5
americo_brasiliense,mid,2.0
americo_brasiliense,late,3.0
campos_novos_paulista,initial,1.25
campos_novos_paulista,mid,1.5
campos_novos_paulista,late,2.0
americo_de_campos,initial,1.25
americo_de_campos,mid,1.5
americo_de_campos,late,2.0
cananeia,initial,1.25
cananeia,mid,1.5
cananeia,late,2.0
amparo,initial,2.0
amparo,mid,3.0
amparo,late,6.0
canas,initial,2.0
canas,mid,3.0
canas,late,6.0
analandia,initial,2.0
analandia,mid,3.0
analandia,late,6.0
candido_mota,initial,1.25
candido_mota,mid,1.5
candido_mota,late,2.0
andradina,initial,2.0
andradina,mid,3.0
andradina,late,6.0
candido_rodrigues,initial,1.5
candido_rodrigues,mid,2.0
candido_rodrigues,late,3.0
angatuba,initial,2.0
angatuba,mid,3.0
angatuba,late,6.0
canitar,initial,1.25
canitar,mid,1.5
canitar,late,2.0
anhembi,initial,1.8
anhembi,mid,2.5
anhembi,late,5.0
capao_bonito,initial,1.25
capao_bonito,mid,1.5
capao_bonito,late,2.0
anhumas,initial,1.5
anhumas,mid,2.0
anhumas,late,3.0
capela_do_alto,initial,2.0
capela_do_alto,mid,3.0
capela_do_alto,late,6.0
aparecida,initial,2.0
aparecida,mid,3.0
aparecida,late,6.0
capivari,initial,2.0
capivari,mid,3.0
capivari,late,6.0
aparecida_doeste,initial,1.5
aparecida_doeste,mid,2.0
aparecida_doeste,late,3.0
caraguatatuba,initial,1.25
caraguatatuba,mid,1.5
caraguatatuba,late,2.0
apiai,initial,1.25
apiai,mid,1.5
apiai,late,2.0
carapicuiba,initial,1.8
carapicuiba,mid,2.5
carapicuiba,late,5.0
aracariguama,initial,2.0
aracariguama,mid,3.0
aracariguama,late,6.0
cardoso,initial,1.25
cardoso,mid,1.5
cardoso,late,2.0
aracatuba,initial,1.8
aracatuba,mid,2.5
aracatuba,late,5.0
casa_branca,initial,1.25
casa_branca,mid,1.5
casa_branca,late,2.0
aracoiaba_da_serra,initial,2.0
aracoiaba_da_serra,mid,3.0
aracoiaba_da_serra,late,6.0
