family,species,status
DICRANACEAE,Campylopus griseus (Hornsch.) A.Jaeger,EX
DICRANACEAE,Campylopus julaceus A.Jaeger,VU
DICRANACEAE,Campylopus surinamensis Müll. Hal.,VU
DICRANACEAE,Campylopus thwaitesii (Mitt.) A.Jaeger,VU
DICRANACEAE,Dicranella guilleminiana (Mont.) Mitt.,EX
ENTODONTACEAE,Mesonodon regnellianus (Müll.Hal.) W.R.Buck,EX
ERPODIACEAE,Aulacopilum schaeferi H.A.Crum,EX
FISSIDENTACEAE,Fissidens dissitifolius Sull.,VU
FRULLANIACEAE,Frullania griffithsiana Gottsche,EX
FRULLANIACEAE,Frullania guadalupensis Gottsche ex Steph.,EX
GEOCALYCACEAE,Leptoscyphus cuneifolius (Hook.) Mitt.,VU
LEJEUNEACEAE,Bromeliophila natans (Steph.) R.M.Schust.,EN
LEJEUNEACEAE,Ceratolejeunea filaria (Taylor ex Lehm.) Steph.,EX
LEJEUNEACEAE,Cheilolejeunea aneogyna (Spruce) A. Evans,EX
LEJEUNEACEAE,Cheilolejeunea grandibracteata Steph.,EX
LEJEUNEACEAE,Cheilolejeunea lineata (Lehm. & Lindenb.) Steph.,EX
LEJEUNEACEAE,Cheilolejeunea tenerrima (Steph.) C. Bastos,EX
LEJEUNEACEAE,Cololejeunea platyneura (Spruce) S.W.Arnell,EX
LEJEUNEACEAE,Cyclolejeunea accedens (Gottsche) A.Evans,EX
LEJEUNEACEAE,Diplasiolejeunea unidentata (Lehm. & Lindenb.) Schiffn.,EX
LEJEUNEACEAE,Drepanolejeunea aculeata Bischl.,EX
LEJEUNEACEAE,Drepanolejeunea grollei E.Reiner & Schäfer-Verw.,VU
LEJEUNEACEAE,Myriocoleopsis fluviatilis (Steph.) E.Reiner & Gradst.,VU
LEJEUNEACEAE,Myriocoleopsis gymnocolea (Spruce) E.Reiner & Gradst.,EX
LEJEUNEACEAE,Prionolejeunea mucronata (Sande Lac.) Steph.,EX
LEJEUNEACEAE,Prionolejeunea scaberula (Spruce) Steph.,EX
NECKERACEAE,Porotrichum leucocaulon Müll. Hal.,EX
NECKERACEAE,Porotrichum thieleanum (Müll.Hal.) Mitt.,EX
NOTOTHYLADACEAE,Notothylas vitalii Udar & Singh,EX
ORTHOTRICHACEAE,Macromitrium argutum Hampe,EX
PILOTRICHACEAE,Callicostella microcarpa Ångström,EX
PILOTRICHACEAE,Crossomitrium saprophilum Broth.,EX
PILOTRICHACEAE,Cyclodictyon marginatum (Hook. & Wilson) Kuntze,EX
PILOTRICHACEAE,Cyclodictyon olfersianum (Hornsch.) Kuntze,EX
PILOTRICHACEAE,Lepidopilum affine Müll. Hal.,EX
POTTIACEAE,Aloina rigida (Hedw.) Limpr.,VU
POTTIACEAE,Dolotortula mnifolia (Sull.) R.H.Zander,VU
POTTIACEAE,Hymenostyliella alata (Herzog) H.Rob.,EX
POTTIACEAE,Leptodontium stellatifolium (Hampe) Broth.,VU
POTTIACEAE,Leptodontium wallisii (Müll.Hal.) Kindb.,VU
POTTIACEAE,Molendoa sendtneriana (Bruch & Schimp.) Limpr.,VU
POTTIACEAE,Timmiella barbuloides (Brid.) Mönk.,EX
POTTIACEAE,Trachycarpidium lonchophyllum (Roth.) R.H. Zander,VU
PTEROBRYACEAE,Calyptothecium acutifolium (Brid.) Broth.,EX
RHACHITHECIACEAE,Rhachithecium perpusillum (Thwaites & Mitt.) Broth.,VU
RICCIACEAE,Riccia albopunctata Jovet-Ast,EX
SPHAGNACEAE,Sphagnum amoenoides H.A.Crum,VU
SPHAGNACEAE,Sphagnum bocainense H.A.Crum,VU
SPHAGNACEAE,Sphagnum frahmii H.A.Crum,VU
SPHAGNACEAE,Sphagnum gracilescens Müll. Hal.,VU
THUIDIACEAE,Pelekium muricatulum (Hampe) A.Touw,VU
THUIDIACEAE,Thuidium urceolatum Lorentz,VU
TRICHOCOLEACEAE,Trichocolea argentea Herzog,EX
ANEMIACEAE,Anemia trichorhiza Gardner,EN
ASPLENIACEAE,Asplenium bradeanum Handro,EN
ASPLENIACEAE,Asplenium ulbrichtii Rosenst.,VU
CYATHEACEAE,Alsophila capensis (L.f.) J.Sm.,EN
